Please rate how much control and flexibility you have over your time (e.g. to leave work to take care of a personal matter),Please rate how safe and secure you feel in your job,Please rate how you feel about the amount of work you have to do,Please rate how you feel about the nature of your work,Please rate how you feel about learning and growth opportunities at work,Please rate the nature of your social relationships with your work colleagues,Please rate the nature of your relationship with your manager or supervisor,Please rate how informed you feel about what is going on in your team,Please rate how you perceive your work is valued and recognized,How regularly to you engage in physical exercise (30 minutes or more)?,"How often do you eat processed, packaged, or fast food that is not made from fresh ingredients?"
6,9,5,4,3,9,6,8,8,Once a week,Once a day
5,8,6,7,2,6,7,8,9,Rarely/Never,Several times a day
5,6,6,7,4,7,7,7,8,Once a week,Several times a day
6,6,5,6,2,8,6,6,5,Less than once a week,Few days a week
6,9,5,3,5,9,6,7,6,Less than once a week,Once a day
6,9,5,1,6,6,6,7,7,Few days a week,Once a day
5,7,6,6,4,8,6,6,7,Every day,Few days a week
5,7,9,5,3,9,7,8,8,Every day,A few times a month
5,9,1,7,5,6,4,8,8,Few days a week,Few days a week
4,6,5,7,3,6,5,6,8,Less than once a week,Once a day
4,7,6,6,6,7,5,7,9,Once a week,A few times a month
4,8,6,7,1,7,4,8,7,Few days a week,Rarely/Never
4,7,5,6,3,8,5,9,7,Once a week,Few days a week
6,7,2,7,1,8,5,9,8,Once a week,A few times a month
4,7,6,4,1,6,6,8,6,Few days a week,A few times a month
